time,Real Lower Band,Real Middle Band,Real Upper Band
2018-08-03,3303.0958,3471.8020,3640.5082
2018-08-02,3301.1819,3473.0600,3644.9382
2018-07-31,3299.2491,3474.6430,3650.0369
2018-07-30,3298.3163,3475.0613,3651.8064
2018-07-27,3297.9483,3475.3415,3652.7347
2018-07-26,3296.9370,3475.7850,3654.6331
2018-07-25,3296.3227,3476.2393,3656.1560
2018-07-24,3296.4515,3477.0782,3657.7049
2018-07-23,3296.5021,3477.4568,3658.4116
2018-07-20,3297.2368,3477.9865,3658.7362
2018-07-19,3297.7873,3478.8340,3659.8807
2018-07-18,3298.0262,3479.5243,3661.0225
2018-07-17,3298.1026,3479.6763,3661.2501
2018-07-16,3298.7768,3480.1613,3661.5459
2018-07-13,3299.8379,3480.8582,3661.8784
2018-07-12,3300.5148,3481.2477,3661.9806
2018-07-11,3300.3005,3481.1735,3662.0465
2018-07-10,3301.7137,3481.6010,3661.4883
2018-07-09,3300.6698,3481.1120,3661.5542
2018-07-06,3298.6183,3480.4332,3662.2481
2018-07-05,3298.1625,3480.2713,3662.3802
2018-07-04,3296.6112,3479.8368,3663.0625
2018-07-03,3296.3215,3479.7713,3663.2212
2018-07-02,3297.9124,3480.1648,3662.4173
2018-06-29,3294.1682,3479.6338,3665.0995
2018-06-28,3289.1548,3478.8227,3668.4905
2018-06-27,3288.7217,3478.7557,3668.7897
2018-06-26,3281.7844,3477.6577,3673.5309
2018-06-25,3275.6641,3476.7948,3677.9256
2018-06-22,3264.1422,3475.2867,3686.4311
2018-06-21,3251.3745,3472.8945,3694.4145
2018-06-20,3246.8636,3471.9725,3697.0814
2018-06-19,3244.9059,3471.3298,3697.7538
2018-06-18,3243.7902,3470.9428,3698.0955
2018-06-15,3240.7200,3469.7452,3698.7704
2018-06-14,3239.6828,3468.6182,3697.5535
2018-06-13,3238.0178,3466.7352,3695.4525
2018-06-12,3234.7634,3465.2588,3695.7543
2018-06-11,3232.0312,3463.9550,3695.8788
2018-06-08,3230.9008,3463.1093,3695.3178
2018-06-07,3229.9547,3462.6633,3695.3720
2018-06-06,3228.4094,3461.8885,3695.3676
2018-06-05,3224.7717,3460.4975,3696.2233
2018-06-04,3219.8502,3458.8487,3697.8472
2018-06-01,3214.7088,3456.9445,3699.1802
2018-05-31,3207.2980,3454.7980,3702.2980
2018-05-30,3206.9380,3454.6732,3702.4083
2018-05-29,3206.8812,3454.6360,3702.3908
2018-05-28,3207.5930,3455.1342,3702.6754
2018-05-25,3207.4803,3454.8098,3702.1394
2018-05-24,3207.3363,3453.5782,3699.8200
2018-05-23,3207.1586,3452.0820,3697.0055
2018-05-22,3207.6917,3450.2210,3692.7503
2018-05-18,3211.0830,3447.6848,3684.2867
2018-05-17,3213.0436,3444.9187,3676.7938
2018-05-16,3217.4535,3442.1623,3666.8712
2018-05-15,3218.7121,3439.2753,3659.8386
2018-05-14,3219.3947,3436.0343,3652.6739
2018-05-11,3218.6533,3432.2875,3645.9217
2018-05-09,3220.4457,3428.9997,3637.5536
2018-05-08,3220.0794,3424.9372,3629.7949
2018-05-07,3222.9941,3421.9275,3620.8609
2018-05-04,3228.6108,3420.0997,3611.5885
2018-05-03,3232.7125,3417.5052,3602.2979
2018-05-02,3235.4580,3416.6660,3597.8740
2018-04-30,3238.0605,3416.1575,3594.2545
2018-04-27,3233.9753,3416.8380,3599.7007
2018-04-26,3224.9166,3418.3465,3611.7764
2018-04-25,3216.1603,3420.0252,3623.8900
2018-04-24,3202.8502,3422.6453,3642.4404
2018-04-23,3191.0975,3424.9208,3658.7442
2018-04-20,3182.3490,3426.8723,3671.3956
2018-04-19,3172.3013,3429.3560,3686.4107
2018-04-18,3159.7753,3432.4508,3705.1263
2018-04-17,3149.1842,3435.3573,3721.5304
2018-04-16,3140.8867,3438.2100,3735.5333
2018-04-13,3135.7148,3441.2078,3746.7008
2018-04-12,3131.4374,3443.9542,3756.4709
2018-04-11,3127.0105,3446.9215,3766.8325
2018-04-10,3124.2122,3450.1232,3776.0342
2018-04-09,3121.2321,3453.0203,3784.8086
2018-04-06,3120.1437,3456.0268,3791.9100
2018-04-05,3118.9194,3459.3890,3799.8586
2018-04-04,3116.6197,3462.6043,3808.5890
2018-04-03,3119.6097,3467.2060,3814.8023
2018-03-29,3123.0669,3471.5510,3820.0351
2018-03-28,3127.2461,3475.0073,3822.7686
2018-03-27,3134.5597,3477.9845,3821.4093
2018-03-26,3143.3669,3481.1013,3818.8358
2018-03-23,3156.4848,3485.1945,3813.9042
2018-03-22,3168.0363,3489.3962,3810.7560
2018-03-21,3175.3413,3492.8162,3810.2910
2018-03-20,3178.8383,3495.6452,3812.4520
2018-03-19,3182.1444,3497.9882,3813.8319
2018-03-16,3186.2529,3501.1120,3815.9711
2018-03-15,3187.4147,3503.9790,3820.5433
2018-03-14,3191.0967,3506.4190,3821.7413
2018-03-13,3196.5502,3509.1730,3821.7958
2018-03-12,3201.5014,3512.2463,3822.9913
2018-03-09,3204.2465,3515.0942,3825.9418
2018-03-08,3208.1187,3517.7887,3827.4587
2018-03-07,3212.5509,3520.7582,3828.9655
2018-03-06,3220.3388,3524.0210,3827.7032
2018-03-05,3230.4494,3527.4162,3824.3829
2018-03-02,3241.3311,3531.0037,3820.6762
2018-03-01,3256.4877,3535.1948,3813.9020
2018-02-28,3263.7119,3537.3347,3810.9574
2018-02-27,3268.3455,3539.5175,3810.6895
2018-02-26,3271.7606,3541.7155,3811.6704
2018-02-23,3275.0646,3543.7207,3812.3767
2018-02-22,3279.9970,3545.7633,3811.5296
2018-02-21,3285.9091,3548.2507,3810.5922
2018-02-20,3292.2246,3550.6158,3809.0070
2018-02-19,3298.2920,3552.7420,3807.1919
2018-02-16,3307.3559,3555.6008,3803.8457
2018-02-15,3314.7459,3557.8443,3800.9427
2018-02-14,3326.3673,3560.4748,3794.5823
2018-02-13,3341.7732,3563.7243,3785.6754
2018-02-12,3362.7837,3567.1375,3771.4912
2018-02-09,3381.1807,3570.2730,3759.3653
2018-02-08,3411.1575,3574.4152,3737.6728
2018-02-07,3433.9260,3578.0228,3722.1197
2018-02-06,3444.3038,3580.6558,3717.0078
2018-02-05,3466.3405,3584.9912,3703.6418
2018-02-02,3473.4440,3587.9912,3702.5383
2018-02-01,3473.3161,3590.6425,3707.9688
2018-01-31,3469.2843,3592.5193,3715.7543
2018-01-30,3465.3168,3593.8445,3722.3722
2018-01-29,3460.8845,3595.3553,3729.8261
2018-01-26,3459.2487,3595.8705,3732.4922
2018-01-25,3458.5447,3596.1167,3733.6886
2018-01-24,3457.8362,3596.4847,3735.1331
2018-01-23,3458.0213,3596.3843,3734.7474
2018-01-22,3459.8802,3595.0372,3730.1941
2018-01-19,3461.6261,3594.1273,3726.6286
2018-01-18,3462.5668,3593.4573,3724.3479
2018-01-17,3462.6603,3593.1937,3723.7270
2018-01-16,3462.6582,3593.0153,3723.3725
2018-01-15,3462.6945,3592.9760,3723.2575
2018-01-12,3462.7055,3592.9087,3723.1118
2018-01-11,3462.7211,3592.8030,3722.8849
2018-01-10,3462.8009,3592.9582,3723.1154
2018-01-09,3462.8024,3592.8867,3722.9709
2018-01-08,3462.9444,3592.6286,3722.3129
2018-01-05,3462.9597,3592.3343,3721.7090
2018-01-04,3462.9519,3592.3822,3721.8124
2018-01-03,3463.7884,3592.9562,3722.1239
2017-12-29,3469.4411,3594.6838,3719.9266
